70,13,42,24,26
13,24,70,42,26
24,13,42,70,26
28,72,65,47,25
28,56,47,53,12
26,20,41,44,48
24,13,42,70,26
13,70,24,42,26
13,24,42,70,26
26,13,59,64,70
24,13,42,70,26
13,24,70,42,26
24,13,42,70,26
24,13,42,70,26
26,64,13,70,20
13,24,42,70,26
24,13,42,70,26
13,24,42,70,26
26,20,44,41,37
24,13,42,70,26
26,64,13,20,59
24,13,42,70,26
67,22,48,26,49
26,48,20,22,67
13,70,24,42,26
26,44,20,37,64
28,25,56,47,53
63,43,58,23,67
63,43,58,23,53
26,64,50,35,39
26,42,70,39,13
24,13,42,70,26
26,44,38,71,51
42,13,24,70,26
26,42,70,13,39
26,42,70,13,39
26,38,64,50,39
26,64,35,13,70
26,38,64,50,37
26,38,44,37,71
26,64,35,39,50
26,38,37,64,44
26,38,37,44,64
26,64,50,38,39
26,38,44,71,37
42,13,70,24,26
26,70,13,42,24
42,13,24,70,26
24,13,42,70,26
24,13,42,70,26
42,26,50,70,39
7,36,67,15,43
43,58,55,36,45
43,7,36,57,4
43,58,57,36,7
43,36,45,7,16
67,7,15,62,43
43,58,63,23,57
67,15,7,62,4
43,58,55,36,45
43,57,53,4,52
63,43,58,23,67
15,67,7,4,62
7,15,43,4,67
7,36,43,67,45
43,58,55,36,63
28,8,47,17,66
28,54,8,47,25
28,54,8,47,25
28,8,47,17,10
28,8,10,17,47
28,54,25,8,47
28,8,47,17,66
28,17,47,10,66
28,8,10,17,47
28,8,47,17,66
28,8,17,10,54
28,8,10,17,47
28,17,47,66,12
28,8,54,47,17
28,54,25,8,47
28,17,47,66,12
28,8,10,17,47
24,13,42,70,26
