12,7,54,2,64,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957803
9,7,10,2,12,7,20,7,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967126
3,7,54,7,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005738
45,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021481
4,1,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057727
21,7,45,7,46,7,54,7,62,1,64,7,0,0,0,0,0,0,0,0,0,0,0,0,2061241
21,7,22,7,46,7,54,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081609
46,7,54,7,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099156
45,7,46,7,54,7,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103416
12,7,13,7,20,7,22,7,41,1,53,7,61,7,0,0,0,0,0,0,0,0,0,0,2115951
13,2,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138867
3,7,18,7,27,7,46,7,51,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,2178197
45,7,46,7,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227475
3,7,22,7,54,7,55,7,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302731
18,1,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2352641
12,7,20,1,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2413180
45,7,46,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415092
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2419618
34,2,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445743
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2503645
58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2527173
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2557558
12,7,54,7,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2561530
8,1,12,7,20,7,54,7,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2598671
3,7,4,7,9,7,12,7,18,7,46,7,54,7,0,0,0,0,0,0,0,0,0,0,2605665
22,7,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2607563
2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2682586
21,7,46,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2697540
12,7,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704236
45,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2717183
3,7,12,7,18,7,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2822149
3,7,19,7,20,7,25,7,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2833690
51,7,54,7,55,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2847049
12,7,21,7,63,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2849228
3,7,4,7,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2863554
4,1,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2885103
20,7,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2891253
20,7,21,7,45,7,46,7,51,7,54,7,62,7,0,0,0,0,0,0,0,0,0,0,2916276
46,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2918132
28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2927135
54,2,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930146
3,7,9,1,45,7,46,7,54,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,2952648
44,7,49,7,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3031029
9,7,20,7,58,7,64,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3065342
3,7,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168589
46,7,51,7,55,7,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3182050
3,1,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3221751
12,7,44,7,63,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250434
3,7,40,7,44,7,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3253179
12,7,20,7,55,2,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3382914
61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388255
21,7,45,7,51,7,54,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3446029
21,7,28,2,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3449108
45,7,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3464826
46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498802
21,7,45,1,51,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3503967
3,7,18,7,40,7,45,7,46,7,51,7,54,7,59,7,0,0,0,0,0,0,0,0,3514112
12,7,18,7,46,7,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522150
22,7,22,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3545388
9,7,12,7,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581063
