11,48,18,60,0,0,0,0,0,0,0,0
60,7,0,0,0,0,0,0,0,0,0,0
11,9,0,0,0,0,0,0,0,0,0,0
28,60,11,0,0,0,0,0,0,0,0,0
48,60,0,0,0,0,0,0,0,0,0,0
60,14,17,48,28,0,0,0,0,0,0,0
9,60,0,0,0,0,0,0,0,0,0,0
60,61,38,53,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0
11,60,52,48,21,0,0,0,0,0,0,0
14,60,52,48,0,0,0,0,0,0,0,0
60,37,18,61,35,0,0,0,0,0,0,0
48,4,60,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0
29,44,0,0,0,0,0,0,0,0,0,0
60,14,0,0,0,0,0,0,0,0,0,0
25,60,48,11,0,0,0,0,0,0,0,0
11,44,0,0,0,0,0,0,0,0,0,0
60,28,11,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0
48,60,53,3,0,0,0,0,0,0,0,0
37,61,25,11,43,0,0,0,0,0,0,0
35,11,0,0,0,0,0,0,0,0,0,0
38,48,0,0,0,0,0,0,0,0,0,0
60,35,0,0,0,0,0,0,0,0,0,0
60,11,48,0,0,0,0,0,0,0,0,0
11,60,35,62,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0
60,11,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0
21,52,0,0,0,0,0,0,0,0,0,0
