20,7,44,7,57,1,58,7,0,0,0,0,0,0,0,0,0,0,0,0,4486493
22,7,27,7,46,7,47,7,51,7,62,7,0,0,0,0,0,0,0,0,4516173
12,1,21,7,22,7,45,7,46,7,51,7,63,7,0,0,0,0,0,0,4591905
51,7,54,7,62,7,64,7,0,0,0,0,0,0,0,0,0,0,0,0,4599034
22,7,22,7,44,7,46,7,51,6,54,7,58,7,59,7,60,7,0,0,4653139
28,1,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4658301
12,7,22,7,45,7,47,7,54,7,62,7,0,0,0,0,0,0,0,0,4666685
4,7,9,7,10,1,12,7,18,7,0,0,0,0,0,0,0,0,0,0,4758014
45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4767338
12,7,52,1,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4865942
3,7,6,1,9,2,61,7,0,0,0,0,0,0,0,0,0,0,0,0,5019197
20,2,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5059174
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5068834
16,2,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5087161
44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5096614
12,7,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5097255
12,7,20,7,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5116069
12,7,20,7,21,7,45,7,47,7,51,7,54,7,59,7,62,7,0,0,5212723
3,7,18,7,46,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,5322936
22,1,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5342316
4,7,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5358564
12,7,14,7,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5365920
4,7,12,7,20,7,36,1,0,0,0,0,0,0,0,0,0,0,0,0,5386569
18,7,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5409893
52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5458201
21,2,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5469545
20,7,45,7,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5488481
21,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5528037
22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5528573
20,7,23,7,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5529432
46,7,47,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5532134
58,7,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5548548
38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5581706
44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5587803
46,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5596178
54,2,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5620146
45,7,51,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5678044
18,1,21,7,45,7,54,7,62,7,0,0,0,0,0,0,0,0,0,0,5692609
12,7,44,7,54,7,58,7,63,7,64,7,0,0,0,0,0,0,0,0,5707510
44,7,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5774596
18,1,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5804431
12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5806865
54,7,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5828287
45,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5870750
20,1,21,7,45,7,47,7,0,0,0,0,0,0,0,0,0,0,0,0,5886085
12,7,52,7,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5957331
12,7,40,1,58,7,59,7,61,7,0,0,0,0,0,0,0,0,0,0,6055665
12,7,27,7,45,7,47,7,62,7,0,0,0,0,0,0,0,0,0,0,6070559
61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6130849
2,7,12,7,45,7,54,7,64,7,0,0,0,0,0,0,0,0,0,0,6131707
22,7,54,7,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6135201
3,7,9,7,12,7,20,7,0,0,0,0,0,0,0,0,0,0,0,0,6146841
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6164258
22,7,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6194351
6,7,23,7,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6195120
