it,dist_norm,max_dist,s,costcupo,z,temp
27,0.8684673506201,13.1520160686686,0.5534773882640,0.3179104644527,9.7431926515099,32768.0000000000000
28,0.8684673506201,13.1520160686686,0.5533597550444,0.3176155951563,9.7431394772221,32768.0000000000000
29,0.8684673506201,13.1520160686686,0.5533129210241,0.3175729555208,9.7431274235075,32768.0000000000000
30,0.8684673506201,13.1520160686686,0.5531952878045,0.3174958462257,9.7431008053174,32768.0000000000000
31,0.8684673506201,13.1520160686686,0.5530776545849,0.3174623023068,9.7430794999781,32768.0000000000000
32,0.8684673506201,13.1520160686686,0.5530308205646,0.3173624091310,9.7430604641244,32768.0000000000000
33,0.8684673506201,13.1520160686686,0.5529839865444,0.3173120547933,9.7430474695925,32768.0000000000000
34,0.8684673506201,13.1520160686686,0.5528663533248,0.3172544875018,9.7430232345736,32768.0000000000000
35,0.8491931759551,12.8601291546428,0.5528663533248,0.3172852854728,9.5294511996731,32768.0000000000000
36,0.8491931759551,12.8601291546428,0.5527487201052,0.3172118427960,9.5294250286316,32768.0000000000000
37,0.8491931759551,12.8601291546428,0.5527018860849,0.3171640449482,9.5294123458667,32768.0000000000000
38,0.8491931759551,12.8601291546428,0.5525842528653,0.3168045329160,9.5293512883184,32768.0000000000000
39,0.8491931759551,12.8601291546428,0.5524666196457,0.3167400271560,9.5293262071448,32768.0000000000000
40,0.8491931759551,12.8601291546428,0.5523489864261,0.3166006276778,9.5292919925910,32768.0000000000000
41,0.8491931759551,12.8601291546428,0.5522313532065,0.3165176417627,9.5292646577399,32768.0000000000000
42,0.8491931759551,12.8601291546428,0.5521137199868,0.3164809716194,9.5292429711537,32768.0000000000000
43,0.8491931759551,12.8601291546428,0.5520668859666,0.3163947664565,9.5292256045699,32768.0000000000000
44,0.8491931759551,12.8601291546428,0.5519492527470,0.3161230689653,9.5291752561120,32768.0000000000000
45,0.8491931759551,12.8601291546428,0.5519024187268,0.3160222429076,9.5291561064923,32768.0000000000000
